Location,Latitude,Longitude,Date,Parameter,Sample Fraction,Value,Unit,Organization
Delaware River at Trenton,40.22032,-74.7777,2016-09-27,Kjeldahl nitrogen,Total,0.166,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-05-17,Orthophosphate,Total,0.0119,mg/L,Delaware River Basin Commission
Delaware River at Trenton,40.22032,-74.7777,2016-06-21,Ammonia-nitrogen,Total,0.0129,mg/L,Delaware River Basin Commission
BACK CREEK AT HAMILTON TOWNSHIP,40.192159,-74.665349,2016-10-13,Phosphate-phosphorus,Total,0.0436,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Stony Bk tributary nr Mountain Church Rd,40.415644,-74.801479,2016-05-23,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.0799,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
RBA,40.27351,-74.52587,2016-11-20,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Millstone River,40.321958,-74.607731,2016-05-21,Nitrate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-08-23,Kjeldahl nitrogen,Total,0.39,mg/L,Delaware River Basin Commission
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-04-06,Kjeldahl nitrogen,Dissolved,0.208,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
BD4,40.384418,-74.740618,2016-06-12,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BACK CREEK AT HAMILTON TOWNSHIP,40.192159,-74.665349,2016-10-13,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Dissolved,0.337,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Harrys Brook,40.359046,-74.638738,2016-05-20,Nitrate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River Morisville Transect 11.5,40.2189,-74.7744,2016-08-23,Nitrate + Nitrite,Dissolved,0.94,mg/L,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION
SB2,40.352824,-74.710443,2016-10-14,Nitrate,Dissolved,2.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-07-12,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.909,mg/L,Delaware River Basin Commission
Stony Brook On Titus Mill Road,40.349373,-74.782116,2016-12-20,Phosphate-phosphorus,Total,0.0521,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
PL1,40.270199,-74.522059,2016-01-15,Nitrate,Dissolved,0.3,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-09-27,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.022,mg/L,Delaware River Basin Commission
Crosswicks C at Crosswicks NJ,40.16,-74.65528,2016-01-06,Kjeldahl nitrogen,Total,0.347,mg/L,NJDEP Bureau of Freshwater and Biological Monitoring
Harrys Brook,40.359046,-74.638738,2016-09-16,Nitrate,Dissolved,1.0,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HL1,40.347989,-74.747183,2016-01-17,Nitrate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
HO1,40.34053,-74.74313,2016-08-20,Orthophosphate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
SB3,40.358549,-74.691108,2016-09-18,Nitrate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
BD4,40.384418,-74.740618,2016-08-20,Orthophosphate,Dissolved,0.2,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-08-23,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.899,mg/L,Delaware River Basin Commission
HO1,40.34053,-74.74313,2016-05-21,Nitrate,Dissolved,0.5,mg/L,Stony Brook-Millstone Watershed Association (Volunteer)
Delaware River at Trenton,40.22032,-74.7777,2016-07-26,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Total,0.802,mg/L,Delaware River Basin Commission
